"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L24909","FixtureFreezerTest","AutoFixtureUnitTest.FixtureFreezerTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\FixtureFreezerTest.cs","15","5","35","6","0.333333","1","0","0","0","0","0","0","0","0","10","0","6","2","0","0","16","21","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","0","0","3","0","2","0","1","2","2","0","10","16","21","0","0","0","0","2","0","2","0","2","3","0","2","0","2","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L24922","FixtureRegistrarTest","AutoFixtureUnitTest.FixtureRegistrarTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\FixtureRegistrarTest.cs","13","5","74","6","0.142857","0","0","0","0","0","0","0","0","0","18","0","6","6","0","0","45","62","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","0","0","12","0","6","0","1","6","6","0","18","45","62","0","0","0","0","6","0","6","0","6","12","0","6","0","6","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L24952","FixtureRepeaterTest","AutoFixtureUnitTest.FixtureRepeaterTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\FixtureRepeaterTest.cs","9","5","71","6","0","2","0","0","0","0","0","0","0","0","14","0","0","5","0","0","45","63","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","2","0","22","0","5","0","0","6","7","0","14","45","63","0","0","0","0","5","0","5","0","5","22","0","5","0","5","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L24965","FixtureResolvingItselfTests","AutoFixtureUnitTest.FixtureResolvingItselfTests<T>","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\FixtureResolvingItselfTests.cs","7","5","19","6","0","1","0","0","0","0","0","0","0","0","3","0","0","1","0","0","10","13","0","0","0","0","0","0","0","1","0","1","0","1","0","3","3","0","0","3","0","1","0","0","2","1","0","3","10","13","0","0","0","0","1","0","1","0","1","3","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L24967","FixtureResolvingItselfTestsOfFixture","AutoFixtureUnitTest.FixtureResolvingItselfTestsOfFixture","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\FixtureResolvingItselfTests.cs","21","5","23","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L24971","FixtureResolvingItselfTestsOfFixtureInterface","AutoFixtureUnitTest.FixtureResolvingItselfTestsOfFixtureInterface","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\FixtureResolvingItselfTests.cs","24","5","26","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L24972","FixtureResolvingItselfTestsOfSpecimenBuilder","AutoFixtureUnitTest.FixtureResolvingItselfTestsOfSpecimenBuilder","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\FixtureResolvingItselfTests.cs","27","5","29","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L24973","FixtureTest","AutoFixtureUnitTest.FixtureTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\FixtureTest.cs","24","5","6786","6","0","121","0","0","0","0","0","0","0","0","1309","0","0","472","0","0","4448","6478","0","0","0","0","0","0","0","472","0","472","0","472","0","0","0","112","0","1973","0","472","0","0","473","584","0","1309","4655","6763","0","45","0","40","557","0","553","37","567","1981","0","563","42","500","0","0","58","0","0","1","0","0","1","1","3","35","0","18"
"L27079","FreezeOnMatchCustomizationTest","AutoFixtureUnitTest.FreezeOnMatchCustomizationTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\FreezeOnMatchCustomizationTest.cs","13","5","537","6","0","15","0","0.0889055","1","2","0","2","0.0761905","0.0735294","75","0","0","33","40","30","409","521","0","0","0","0","0","0","0","33","0","33","0","33","0","0","0","8","0","192","0","33","0","0","34","41","0","75","409","525","0","0","0","0","33","0","33","0","33","192","0","33","0","33","0","0","23","0","0","0","0","16","1","0","1","1","0","4"
"L27133","FreezingCustomizationTest","AutoFixtureUnitTest.FreezingCustomizationTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\FreezingCustomizationTest.cs","7","5","136","6","0","3","0","0","0","0","0","0","0","0","27","0","0","11","0","0","92","130","0","0","0","0","0","0","0","11","0","11","0","11","0","0","0","2","0","41","0","11","0","0","12","13","0","27","92","130","0","0","0","0","11","0","11","0","11","41","0","11","0","11","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L27149","GeneratorTest","AutoFixtureUnitTest.GeneratorTest<T>","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\GeneratorTest.cs","12","5","120","6","0","3","0","0","0","0","0","0","0","0","24","0","0","9","0","0","77","109","0","0","0","0","0","0","0","9","0","9","0","9","0","5","5","0","0","29","0","9","0","0","10","9","0","24","77","109","0","0","0","0","9","0","9","0","9","29","0","9","0","9","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L27152","CountTestCases","AutoFixtureUnitTest.CountTestCases","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\GeneratorTest.cs","122","5","137","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","16","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","6","0","1","0","0","2","2","0","0","15","16","0","0","0","0","2","0","1","0","2","6","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L27185","GeneratorTestOfObject","AutoFixtureUnitTest.GeneratorTestOfObject","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\GeneratorTest.cs","139","5","141","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","1","0","0","9","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","9","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L27189","GeneratorTestOfString","AutoFixtureUnitTest.GeneratorTestOfString","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\GeneratorTest.cs","143","5","145","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","1","0","0","9","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","9","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L27190","GeneratorTestOfInt32","AutoFixtureUnitTest.GeneratorTestOfInt32","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\GeneratorTest.cs","147","5","149","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","1","0","0","9","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","9","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L27191","GeneratorTestOfGuid","AutoFixtureUnitTest.GeneratorTestOfGuid","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\GeneratorTest.cs","151","5","153","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","1","0","0","9","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","9","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L27192","GeneratorTestOfNetPipeStyleUriParser","AutoFixtureUnitTest.GeneratorTestOfNetPipeStyleUriParser","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\GeneratorTest.cs","155","5","157","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","1","0","0","9","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","9","0","0","9","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L27193","GuidGeneratorTest","AutoFixtureUnitTest.GuidGeneratorTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\GuidGeneratorTest.cs","9","5","133","6","0","4","0","0","0","0","0","0","0","0","30","0","0","10","0","0","85","125","0","0","0","0","0","0","0","10","0","10","0","10","0","0","0","1","0","38","0","10","0","0","11","11","0","30","85","125","0","0","0","0","10","0","10","0","10","38","0","10","0","10","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L27204","IncrementingDateTimeCustomizationTest","AutoFixtureUnitTest.IncrementingDateTimeCustomizationTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\IncrementingDateTimeCustomizationTest.cs","8","5","44","6","0","4","0","0","0","0","0","0","0","0","8","0","0","3","0","0","27","37","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","0","0","9","0","3","0","0","4","3","0","8","27","37","0","0","0","0","3","0","3","0","3","9","0","3","0","3","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L27209","Int16SequenceGeneratorTest","AutoFixtureUnitTest.Int16SequenceGeneratorTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\Int16SequenceGeneratorTest.cs","9","5","134","6","0","5","0","0","0","0","0","0","0","0","19","0","0","13","0","0","95","126","0","0","0","0","0","0","0","13","0","13","0","13","0","0","0","2","0","34","0","13","0","0","14","15","0","19","95","126","0","0","0","0","13","0","13","0","13","34","0","13","0","13","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L27242","Int32SequenceCreatorTest","AutoFixtureUnitTest.Int32SequenceCreatorTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\Int32SequenceCreatorTest.cs","9","5","134","6","0","5","0","0","0","0","0","0","0","0","19","0","0","13","0","0","95","126","0","0","0","0","0","0","0","13","0","13","0","13","0","0","0","2","0","34","0","13","0","0","14","15","0","19","95","126","0","0","0","0","13","0","13","0","13","34","0","13","0","13","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L27275","Int64SequenceGeneratorTest","AutoFixtureUnitTest.Int64SequenceGeneratorTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\Int64SequenceGeneratorTest.cs","9","5","134","6","0","5","0","0","0","0","0","0","0","0","19","0","0","13","0","0","95","126","0","0","0","0","0","0","0","13","0","13","0","13","0","0","0","2","0","34","0","13","0","0","14","15","0","19","95","126","0","0","0","0","13","0","13","0","13","34","0","13","0","13","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L27308","InvariantCultureGeneratorTest","AutoFixtureUnitTest.InvariantCultureGeneratorTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\InvariantCultureGeneratorTest.cs","10","5","74","6","0","4","0","0","0","0","0","0","0","0","0","0","0","6","0","0","44","65","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","1","0","16","0","6","0","0","7","7","0","0","44","65","0","0","0","0","6","0","6","0","6","16","0","6","0","6","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L31027","LambdaExpressionGeneratorTest","AutoFixtureUnitTest.LambdaExpressionGeneratorTest","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\LambdaExpressionGeneratorTest.cs","10","5","87","6","0","8","0","0","0","0","0","0","0","0","0","0","0","6","0","0","64","78","0","0","0","0","0","0","0","6","0","6","0","6","0","0","0","1","0","25","0","6","0","0","7","7","0","0","64","78","0","0","0","0","6","0","6","0","6","25","0","6","0","6","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L31042","LazyRelayTest","AutoFixtureUnitTest.LazyRelayTest<T>","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\LazyRelayTest.cs","11","5","106","6","0","4","0","0","0","0","0","0","0","0","17","0","0","6","0","0","74","96","0","0","0","0","0","0","0","6","0","6","0","6","0","6","6","2","0","27","0","6","0","0","7","8","0","17","74","96","0","0","0","0","6","0","6","0","6","27","0","6","0","6","0","0","2","0","0","0","0","0","1","0","0","1","0","0"
"L31056","LazyRelayTestOfInt32","AutoFixtureUnitTest.LazyRelayTestOfInt32","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\LazyRelayTest.cs","108","5","111","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","1","0","0","6","0","0","1","0","0","0","3","4","0","0","0","0","0","0","0","0","6","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L31060","LazyRelayTestOfString","AutoFixtureUnitTest.LazyRelayTestOfString","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\LazyRelayTest.cs","113","5","116","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","1","0","0","6","0","0","1","0","0","0","3","4","0","0","0","0","0","0","0","0","6","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L31061","LazyRelayTestOfVersion","AutoFixtureUnitTest.LazyRelayTestOfVersion","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\LazyRelayTest.cs","118","5","121","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","1","0","0","6","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","6","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L31062","LazyRelayTestOfSingleParameterType","AutoFixtureUnitTest.LazyRelayTestOfSingleParameterType","L22530","L22522","D:\DataCollection\repos\AutoFixture_AutoFixture\Src\AutoFixtureUnitTest\LazyRelayTest.cs","123","5","126","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","1","0","0","6","0","0","1","0","0","0","3","4","0","0","0","0","0","0","0","0","6","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
