"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L10991","EfCompoundKeyRepositoryBase","SharpRepository.EfRepository.EfCompoundKeyRepositoryBase<T, TKey, TKey2, TKey3>","L10900","L10899","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.EfRepository\EfCompoundKeyRepositoryBase.cs","198","5","291","6","0","10","0","0.304598","1","4","0","1","0.297872","0.28169","5","5","1","1","28","20","72","94","0","9","0","0","0","0","2","14","0","1","2","172","10","1","2","2","8","30","0","123","5","0","2","16","0","5","72","94","0","9","0","2","14","0","1","2","172","30","0","123","5","22","0","0","19","0","0","0","0","12","0","0","0","1","2","4"
"L11032","EfConfigRepositoryFactory","SharpRepository.EfRepository.EfConfigRepositoryFactory","L10900","L10899","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.EfRepository\EfConfigRepositoryFactory.cs","11","5","79","6","0","15","0","0","0","0","0","0","0","0","4","2","0","1","0","0","55","69","0","0","0","0","0","0","0","7","0","6","0","18","2","0","0","6","2","17","0","16","0","0","7","13","0","4","55","69","0","0","0","0","7","0","6","0","18","17","0","16","0","12","0","0","3","0","0","0","0","0","0","0","1","1","1","0"
"L11053","EfRepository","SharpRepository.EfRepository.EfRepository<T, TKey, TKey2>","L10900","L10899","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.EfRepository\EfRepository.cs","7","5","13","6","0","9","0","0","0","0","0","0","0","0","0","6","0","0","0","0","7","7","0","9","0","0","0","0","0","1","0","1","0","173","11","0","0","1","8","0","0","124","5","0","2","2","0","0","7","7","0","9","0","0","1","0","1","0","173","0","0","124","5","1","0","0","8","0","0","0","0","0","0","0","0","1","3","4"
"L11060","EfRepository","SharpRepository.EfRepository.EfRepository<T, TKey, TKey2, TKey3>","L10900","L10899","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.EfRepository\EfRepository.cs","15","5","21","6","0","9","0","0","0","0","0","0","0","0","0","6","0","0","0","0","7","7","0","9","0","0","0","0","0","1","0","1","0","173","11","1","1","1","8","0","0","124","5","0","2","2","0","0","7","7","0","9","0","0","1","0","1","0","173","0","0","124","5","1","0","0","8","0","0","0","0","0","0","0","0","1","3","4"
"L11067","EfCompoundKeyRepository","SharpRepository.EfRepository.EfCompoundKeyRepository<T>","L10900","L10899","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.EfRepository\EfRepository.cs","23","5","29","6","0","9","0","0","0","0","0","0","0","0","0","6","0","0","0","0","7","7","0","9","0","0","0","0","0","1","0","1","0","171","11","0","0","1","8","0","0","122","5","0","2","2","0","0","7","7","0","9","0","0","1","0","1","0","171","0","0","122","5","1","0","0","8","0","0","0","0","0","0","0","0","1","3","4"
"L11046","EfRepository","SharpRepository.EfRepository.EfRepository<T, TKey>","L10900","L10899","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.EfRepository\EfRepository.cs","36","5","46","6","1","11","0","0","0","0","0","0","0","0","10","7","10","0","0","0","6","11","0","21","0","0","0","0","0","1","0","1","0","398","12","2","2","1","10","0","0","331","12","2","0","2","0","10","6","11","0","21","0","0","1","0","1","0","398","0","0","331","12","1","0","0","9","0","0","0","0","0","0","0","1","0","3","5"
"L11039","EfRepository","SharpRepository.EfRepository.EfRepository<T>","L10900","L10899","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.EfRepository\EfRepository.cs","52","5","62","6","1","12","0","0","0","0","0","0","0","0","9","7","9","0","0","0","6","11","0","21","0","0","0","0","0","1","0","1","0","398","13","0","0","1","11","0","0","331","12","2","0","2","0","9","6","11","0","21","0","0","1","0","1","0","398","0","0","331","12","1","0","0","9","0","0","0","0","0","0","0","1","0","3","5"
"L11102","EfRepositoryBase","SharpRepository.EfRepository.EfRepositoryBase<T, TKey>","L10900","L10899","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.EfRepository\EfRepositoryBase.cs","13","5","159","6","0","12","0","0.165202","1","5","0","1","0.217687","0.209091","12","6","2","2","32","23","111","147","0","21","0","0","0","0","2","16","0","1","2","397","11","2","4","4","10","49","0","330","12","0","2","20","0","12","111","147","0","21","0","2","16","0","1","2","397","49","0","330","12","37","0","0","23","0","0","0","0","12","1","0","1","1","3","5"
"L11157","EfRepositoryConfiguration","SharpRepository.EfRepository.EfRepositoryConfiguration","L10900","L10899","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.EfRepository\EfRepositoryConfiguration.cs","6","5","42","6","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","27","37","0","12","0","0","0","0","0","5","0","5","2","39","2","0","0","4","2","9","0","39","12","0","6","9","0","0","27","37","0","12","0","0","5","0","5","2","39","9","0","39","12","6","0","0","2","0","0","0","0","0","0","0","0","1","1","0"
"L11191","InMemoryCompoundKeyRepositoryBase","SharpRepository.InMemoryRepository.InMemoryCompoundKeyRepositoryBase<T>","L11182","L11181","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.InMemoryRepository\InMemoryCompoundKeyRepositoryBase.cs","12","5","109","6","0","10","0","0.235988","1","3","0","1","0.22449","0.211268","2","5","0","4","22","15","72","98","0","7","0","0","0","0","0","10","0","2","0","166","10","1","1","0","8","27","0","122","3","0","3","10","0","2","72","98","0","7","0","0","10","0","2","0","166","27","0","122","3","15","0","0","20","0","0","0","0","12","1","0","0","1","2","4"
"L11212","InMemoryCompoundKeyRepositoryBase","SharpRepository.InMemoryRepository.InMemoryCompoundKeyRepositoryBase<T, TKey, TKey2>","L11182","L11181","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.InMemoryRepository\InMemoryCompoundKeyRepositoryBase.cs","111","5","227","6","0","11","0","0.213777","2","6","0","2","0.196581","0.186047","2","5","0","4","23","16","70","97","0","7","0","0","0","0","0","10","0","2","0","168","10","1","2","2","8","31","0","124","3","0","3","12","0","2","88","117","0","9","0","2","16","0","8","2","174","36","0","130","5","12","0","0","22","0","0","0","0","12","1","0","1","2","2","4"
"L11258","InMemoryCompoundKeyRepositoryBase","SharpRepository.InMemoryRepository.InMemoryCompoundKeyRepositoryBase<T, TKey, TKey2, TKey3>","L11182","L11181","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.InMemoryRepository\InMemoryCompoundKeyRepositoryBase.cs","229","5","350","6","0","11","0","0.188679","2","6","0","2","0.188525","0.177778","2","5","0","4","23","16","73","101","0","7","0","0","0","0","0","10","0","2","0","168","10","1","1","3","8","34","0","124","3","0","3","13","0","2","92","122","0","10","0","3","18","0","7","3","176","39","0","129","6","12","0","0","22","0","0","0","0","12","1","0","1","2","2","4"
"L11312","InMemoryConfigRepositoryFactory","SharpRepository.InMemoryRepository.InMemoryConfigRepositoryFactory","L11182","L11181","D:\DataCollection\repos\SharpRepository_SharpRepository\SharpRepository.InMemoryRepository\InMemoryConfigRepositoryFactory.cs","6","5","37","6","0","13","0","0","0","0","0","0","0","0","0","2","0","5","0","0","27","32","0","0","0","0","0","0","0","6","0","6","0","17","2","0","0","5","2","5","0","16","0","0","7","11","0","0","27","32","0","0","0","0","6","0","6","0","17","5","0","16","0","6","0","0","4","0","0","0","0","0","1","0","1","1","1","0"
