"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L7497","ExcelBarChart","OfficeOpenXml.Drawing.Chart.ExcelBarChart","L7463","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\Drawing\Chart\ExcelBarChart.cs","42","5","506","6","1","10","0","0.413636","6","78","0","11","0.460215","0.528678","38","3","27","1","214","212","397","465","0","40","0","0","0","0","4","17","0","5","3","191","3","0","0","12","1","120","0","50","28","6","0","29","0","38","397","465","0","40","0","4","17","0","5","3","191","120","0","50","28","134","0","0","46","0","0","6","0","30","0","3","0","0","0","13"
"L7721","ExcelBarChartSerie","OfficeOpenXml.Drawing.Chart.ExcelBarChartSerie","L7463","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\Drawing\Chart\ExcelBarChartSerie.cs","39","5","79","6","1","4","0","0","0","0","0","0","0","0","13","2","13","0","0","0","26","41","0","12","0","0","0","0","2","4","0","1","1","60","2","0","0","4","1","5","0","12","8","2","0","8","0","13","26","41","0","12","0","2","4","0","1","1","60","5","0","12","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7755","ExcelBubbleChart","OfficeOpenXml.Drawing.Chart.ExcelBubbleChart","L7463","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\Drawing\Chart\ExcelBubbleChart.cs","12","5","132","6","0.9","9","0","0","0","0","0","0","0","0","15","3","12","1","0","0","91","121","0","41","0","0","0","0","5","14","0","9","4","188","3","0","0","13","1","24","0","54","29","9","1","27","0","15","91","121","0","41","0","5","14","0","9","4","188","24","0","54","29","20","0","0","9","0","0","0","0","0","0","0","0","1","0","8"
"L7847","ExcelBubbleChartSerie","OfficeOpenXml.Drawing.Chart.ExcelBubbleChartSerie","L7463","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\Drawing\Chart\ExcelBubbleChartSerie.cs","40","5","158","6","0.333333","9","0","0","0","0","0","0","0","0","18","2","13","1","0","0","86","119","0","15","0","0","0","0","5","11","0","5","4","67","2","0","0","16","1","28","0","16","11","2","4","27","0","18","86","119","0","15","0","5","11","0","5","4","67","28","0","16","11","17","0","0","2","0","0","1","0","0","0","0","0","1","0","1"
"L7498","ExcelChart","OfficeOpenXml.Drawing.Chart.ExcelChart","L7463","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\Drawing\Chart\ExcelChart.cs","353","5","1955","6","0.933333","35","0","0","0","0","0","0","0","0","189","2","162","2","0","0","1315","1603","0","36","0","0","0","0","26","91","0","29","16","174","2","7","9","82","1","426","0","45","25","28","2","173","0","189","1315","1603","0","36","0","26","91","0","29","16","174","426","0","45","25","489","0","0","43","0","0","24","0","0","1","9","8","1","0","24"
"L8102","ExcelChartAxis","OfficeOpenXml.Drawing.Chart.ExcelChartAxis","L7463","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\Drawing\Chart\ExcelChartAxis.cs","141","5","917","6","0.916667","14","0","0.332223","4","28","0","8","0.290862","0.338462","96","1","96","1","226","220","581","760","0","31","0","0","0","0","28","51","0","47","20","93","1","0","0","15","1","184","0","47","23","44","4","66","0","96","587","777","0","31","0","28","51","0","47","20","93","184","0","47","23","108","0","0","118","0","0","1","0","103","0","0","1","1","0","13"
"L9048","ExcelChartCollection","OfficeOpenXml.Drawing.Chart.ExcelChartCollection","L7463","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\Drawing\Chart\ExcelChartCollection.cs","40","5","105","6","0.75","4","0","0","0","0","0","0","0","0","13","0","13","1","0","0","46","66","0","2","0","0","0","0","2","7","0","3","0","7","0","0","0","7","0","15","0","3","0","3","1","14","0","13","46","66","0","2","0","2","7","0","3","0","7","15","0","3","0","10","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L7667","ExcelChartDataLabel","OfficeOpenXml.Drawing.Chart.ExcelChartDataLabel","L7463","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\Drawing\Chart\ExcelChartDataLabel.cs","41","5","286","6","0.9","6","0","0.217323","2","18","0","2","0.195122","0.223301","35","1","34","2","48","46","179","246","0","14","0","0","0","0","11","22","0","19","8","64","1","1","1","14","1","57","0","19","11","18","2","36","0","35","179","246","0","14","0","11","22","0","19","8","64","57","0","19","11","51","0","0","27","0","0","2","0","19","1","0","0","1","0","6"
"L9176","ExcelChartDataTable","OfficeOpenXml.Drawing.Chart.ExcelChartDataTable","L7463","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\Drawing\Chart\ExcelChartDataTable.cs","40","5","220","6","1","6","0","0.277666","2","18","0","2","0.265193","0.304636","25","1","24","2","48","46","136","181","0","10","0","0","0","0","7","14","0","11","4","56","1","0","0","12","1","47","0","11","7","12","0","26","0","25","136","181","0","10","0","7","14","0","11","4","56","47","0","11","7","39","0","0","21","0","0","2","0","19","1","0","0","0","0","1"
"L8557","ExcelChartLegend","OfficeOpenXml.Drawing.Chart.ExcelChartLegend","L7463","L1804","D:\DataCollection\repos\dotnetcore_Magicodes.IE\src\EPPlus\EPPlus\Drawing\Chart\ExcelChartLegend.cs","53","5","197","6","1","7","0","0","0","0","0","0","0","0","25","1","24","2","0","0","110","145","0","8","0","0","0","0","5","10","0","9","2","52","1","0","0","16","1","48","0","9","5","10","0","26","0","25","110","145","0","8","0","5","10","0","9","2","52","48","0","9","5","26","0","0","1","0","0","2","0","0","1","0","0","0","0","0"
