"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Compiler","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L61602","GetUnusedAddressModel","Stratis.Bitcoin.Features.Wallet.Models.GetUnusedAddressModel","L63169","L60424","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.Bitcoin.Features.Wallet\Models\RequestModels.cs","603","5","625","6","0.625","2","0","0","0","0","0","0","0","0","9","1","9","0","0","0","11","23","0","3","0","0","0","0","3","7","0","7","3","8","1","0","0","0","1","1","0","8","3","5","3","7","0","9","11","23","0","3","0","3","7","0","7","3","8","1","0","8","3","7","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L61628","GetUnusedAddressesModel","Stratis.Bitcoin.Features.Wallet.Models.GetUnusedAddressesModel","L63169","L60424","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.Bitcoin.Features.Wallet\Models\RequestModels.cs","630","5","658","6","0.5","2","0","0","0","0","0","0","0","0","9","1","9","0","0","0","13","29","0","4","0","0","0","0","4","9","0","9","4","10","1","0","0","0","1","1","0","10","4","5","5","9","0","9","13","29","0","4","0","4","9","0","9","4","10","1","0","10","4","9","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L61650","GetNewAddressesModel","Stratis.Bitcoin.Features.Wallet.Models.GetNewAddressesModel","L63169","L60424","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.Bitcoin.Features.Wallet\Models\RequestModels.cs","663","5","691","6","0.5","2","0","0","0","0","0","0","0","0","9","1","9","0","0","0","13","29","0","4","0","0","0","0","4","9","0","9","4","10","1","0","0","0","1","1","0","10","4","5","5","9","0","9","13","29","0","4","0","4","9","0","9","4","10","1","0","10","4","9","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L61667","GetAllAddressesModel","Stratis.Bitcoin.Features.Wallet.Models.GetAllAddressesModel","L63169","L60424","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.Bitcoin.Features.Wallet\Models\RequestModels.cs","696","5","718","6","0.625","2","0","0","0","0","0","0","0","0","9","1","9","0","0","0","11","23","0","3","0","0","0","0","3","7","0","7","3","8","1","0","0","0","1","1","0","8","3","5","3","7","0","9","11","23","0","3","0","3","7","0","7","3","8","1","0","8","3","7","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L61694","GetExtPubKeyModel","Stratis.Bitcoin.Features.Wallet.Models.GetExtPubKeyModel","L63169","L60424","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.Bitcoin.Features.Wallet\Models\RequestModels.cs","723","5","740","6","0.5","2","0","0","0","0","0","0","0","0","6","1","6","0","0","0","10","18","0","2","0","0","0","0","2","5","0","5","2","6","1","0","0","0","1","1","0","6","2","3","3","5","0","6","10","18","0","2","0","2","5","0","5","2","6","1","0","6","2","5","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L61709","RetrievePrivateKeyModel","Stratis.Bitcoin.Features.Wallet.Models.RetrievePrivateKeyModel","L63169","L60424","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.Bitcoin.Features.Wallet\Models\RequestModels.cs","745","5","764","6","0.142857","1","0","0","0","0","0","0","0","0","3","1","3","0","0","0","9","20","0","3","0","0","0","0","3","6","0","6","3","7","1","0","0","0","1","0","0","7","3","1","6","6","0","3","9","20","0","3","0","3","6","0","6","3","7","0","0","7","3","6","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L61565","GetUnusedAccountModel","Stratis.Bitcoin.Features.Wallet.Models.GetUnusedAccountModel","L63169","L60424","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.Bitcoin.Features.Wallet\Models\RequestModels.cs","769","5","782","6","0.2","1","0","0","0","0","0","0","0","0","3","1","3","0","0","0","7","14","0","2","0","0","0","0","2","4","0","4","2","5","1","0","0","0","1","0","0","5","2","1","4","4","0","3","7","14","0","2","0","2","4","0","4","2","5","0","0","5","2","4","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L61739","WalletSyncRequest","Stratis.Bitcoin.Features.Wallet.Models.WalletSyncRequest","L63169","L60424","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.Bitcoin.Features.Wallet\Models\RequestModels.cs","787","5","804","6","0.714286","1","0","0","0","0","0","0","0","0","9","1","9","0","0","0","7","18","0","3","0","0","0","0","3","6","0","6","3","7","1","0","0","0","1","0","0","7","3","5","2","6","0","9","7","18","0","3","0","3","6","0","6","3","7","0","0","7","3","6","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L61758","WalletStatsRequest","Stratis.Bitcoin.Features.Wallet.Models.WalletStatsRequest","L63169","L60424","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.Bitcoin.Features.Wallet\Models\RequestModels.cs","809","5","838","6","0.7","2","0","0","0","0","0","0","0","0","13","1","13","0","0","0","12","30","0","4","0","0","0","0","4","9","0","9","4","10","1","0","0","0","1","1","0","10","4","7","3","9","0","13","12","30","0","4","0","4","9","0","9","4","10","1","0","10","4","9","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"L61211","AddressBookEntryRequest","Stratis.Bitcoin.Features.Wallet.Models.AddressBookEntryRequest","L63169","L60424","D:\DataCollection\repos\stratisproject_StratisFullNode\src\Stratis.Bitcoin.Features.Wallet\Models\RequestModels.cs","844","5","859","6","0.2","1","0","0","0","0","0","0","0","0","4","1","4","0","0","0","9","16","0","2","0","0","0","0","2","4","0","4","2","5","1","0","0","0","1","0","0","5","2","1","4","4","0","4","9","16","0","2","0","2","4","0","4","2","5","0","0","5","2","4","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
